상호명,도로명주소,전화번호,위도,경도
세븐일레븐 송도타임점,"인천광역시 연수구 하모니로 158, 송도타임스페이스 C-119일부호 (송도동)",,37.3840624,126.641897
씨유 송도트리플타워점,"인천광역시 연수구 송도과학로28번길 8, 더샵 송도트리플타워 East 116 일부호 (송도동)",,37.3824602,126.660671
세븐일레븐 송도센트럴점,"인천광역시 연수구 센트럴로 194, 더샵 센트럴파크2 C동 129일부호 (송도동, 더샵 센트럴파크2)",,37.3945115,126.641011
세븐일레븐 송도랜시티점,"인천광역시 연수구 랜드마크로 68, 301동 25호 (송도동, 랜드마크시티센트럴더샵)",,37.416313,126.622474
지에스25 청학용담공원점,"인천광역시 연수구 함박뫼로26번길 6, 1층 일부호 (청학동)",,37.4194518,126.672014
씨유 송도더테라스정문점,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 167일부호 (송도동)",,37.411338,126.627562
씨유 송도더테라스후문점,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 112일부호 (송도동)",,37.409567,126.625327
GS25 연수태산점,"인천광역시 연수구 먼우금로264번길 8-4, 1층 일부호 (연수동)",,37.4197901,126.680373
이마트24 청학미소점,"인천광역시 연수구 청학로27번길 4, 1층 일부호 (청학동)",,37.4296985,126.663236
세븐일레븐 힐스레이크점,"인천광역시 연수구 아카데미로 446, 힐스테이트 레이크 송도 2차 221동 102일부호 (송도동, 힐스테이트 레이크 송도 2차)",,37.398025,126.620207
25시 편의점 나들가게,"인천광역시 연수구 청량로 143, 1층 일부호 (옥련동)",,37.4197574,126.65291
GS25 한라웨스턴파크점,"인천광역시 연수구 아트센터대로168번길 100, 한라 웨스턴파크 송도 104일부호 (송도동)",,37.406103,126.628875
씨유 송도청량로점,"인천광역시 연수구 청량로 82, 1층 일부호 (동춘동)",,37.4155904,126.657584
이마트24 인천옥련점,"인천광역시 연수구 대암로8번길 22, 송도 듀플렉스 1층 101호 (옥련동)",,37.4160691,126.651809
CU(씨유) 연수역점,"인천광역시 연수구 벚꽃로 114, 브랫슬 1층 120 일부호 (연수동)",,37.4170629,126.678091
이마트24 송도아메리칸타운점,"인천광역시 연수구 송도과학로27번길 15, 송도아메리칸타운아이파크 104동 126일부호 (송도동, 송도아메리칸타운아이파크)",,37.385082,126.661481
씨유 연수선학점,"인천광역시 연수구 넘말로55번길 6-12, 1층 일부호 (선학동)",,37.4307889,126.696426
나나 편의점,"인천광역시 연수구 앵고개로 113, 1층 일부호 (동춘동)",,37.4133393,126.658057
이마트24 송도스타점,"인천광역시 연수구 아트센터대로168번길 101, 송도랜드마크푸르지오시티 111일부호 (송도동)",,37.405255,126.627903
이마트24 송도대장점,"인천광역시 연수구 아트센터대로168번길 101, 송도랜드마크푸르지오시티 132일부호 (송도동)",,37.405255,126.627903
씨유 송도코스테이점,"인천광역시 연수구 하모니로 271, 송도 코스테이 주건축물 제1동 103일부호 (송도동)",,37.373829,126.636685
GS25 송도제니스점,"인천광역시 연수구 신송로 154, 더 제니스 1층 116일부호 (송도동)",,37.3978441,126.649601
씨유 동춘풍림점,"인천광역시 연수구 경원대로119번길 21, 상가동 1층 110일부호 (동춘동, 연수2차풍림아파트)",,37.400607,126.673565
씨유 동춘삼환점,"인천광역시 연수구 원인재로 88, 대우삼환아파트 분산 상가동 101일부호 (동춘동, 대우삼환아파트)",,37.4058651,126.678726
GS25 동춘서해점,"인천광역시 연수구 봉재산로 20, 근린생활시설동 지2층 101 일부호 (동춘동, 연수 서해그랑블 1단지)",,37.409768,126.666043
GS25 송도신송로점,"인천광역시 연수구 신송로6번길 7, 상가동 103호 (송도동, 송도 성지리벨루스)",,37.389343,126.662303
씨유(CU) 트리플스트리트점,"인천광역시 연수구 송도과학로16번길 33-1, 송도 트리플스트리트 A동 1층 102b1 일부호 (송도동)",,37.380879,126.659165
씨유 송도포스코2호점,"인천광역시 연수구 해돋이로 107, 송도 더샵 퍼스트월드 F동 4일부호 (송도동, 송도 더샵 퍼스트월드)",,37.389578,126.648496
씨유 송도스마트밸리점,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 F동 109일부호 (송도동)",,37.3666202,126.648358
이마트24 연수동점,"인천광역시 연수구 함박로88번길 44, 1층 일부호 (연수동)",,37.4249525,126.683548
GS25 연수드림점,"인천광역시 연수구 함박로25번길 2, 지상1층 일부호 (연수동)",,37.4259525,126.680177
세븐일레븐 인천연수샘말점,"인천광역시 연수구 샘말로62번길 3, 지상1층 (연수동)",,37.4138696,126.680025
GS25 송도차오름점,"인천광역시 연수구 해돋이로 165, 차오름 프라자 지상1층 106호 (송도동)",,37.3946859,126.645053
냠냠마켓 송도점,"인천광역시 연수구 테크노파크로111번길 8, 송도 S 타워 지상1층 103호 (송도동)",,37.3858437,126.643966
GS25 동춘마을점,"인천광역시 연수구 먼우금로 123, 상가동 지상1층 101,102호 (동춘동, 동춘마을아파트)",,37.411229,126.670029
이마트24 연수풍림점,"인천광역시 연수구 함박뫼로 250, 상가동 지상1층 108호 (연수동, 연수풍림1차아파트)",,37.4175234,126.691938
지에스25 송도아메리칸점,"인천광역시 연수구 송도과학로27번길 15, 104동 지상1층 113(일부)호 (송도동, 송도아메리칸타운아이파크)",,37.384412,126.662894
이마트24 선학아주점,"인천광역시 연수구 선학로 90, 지상1층 101(일부)호 (선학동, 아주아파트)",,37.425613,126.701522
세븐일레븐 송도카리스점,"인천광역시 연수구 해돋이로 160-19, 카리스프라자 주건축물1 지상1층 111(일부)호 (송도동)",,37.3963311,126.646819
GS25 인천대사회대점,"인천광역시 연수구 아카데미로 119, 인천대학교 사회,법과대학  지상1층 일부호 (송도동)",,37.3749504,126.63222
세븐일레븐 송도아트점,"인천광역시 연수구 아트센터대로 203, 송도 센트럴파크 푸르지오시티 지상1층 123(일부)호 (송도동)",,37.3952202,126.631273
세븐일레븐 송도에스원점,"인천광역시 연수구 해돋이로 168-2, 에스원타워1 지상1층 108(일부)호 (송도동)",,37.3951198,126.645514
씨유 옥련쌍용점,"인천광역시 연수구 청량로194번길 22, 지상1층 일부호 (옥련동)",,37.424625,126.653633
GS25 송도센트로드,"인천광역시 연수구 인천타워대로 323, 송도 센트로드 상가동 씨106일부호 (송도동)",,37.3994502,126.629739
